plot_num,plot_type,replicate,sp_code,num_seeds_produced
744,L,5,HECO,1328
745,L,1,HECO,72
745,L,2,HECO,264
745,L,3,HECO,320
745,L,4,HECO,696
745,L,5,HECO,648
746,L,1,HECO,2512
746,L,2,HECO,856
746,L,3,HECO,1072
746,L,4,HECO,NA
746,L,5,HECO,NA
747,L,1,HECO,1032
747,L,2,HECO,552
747,L,3,HECO,136
747,L,4,HECO,176
747,L,5,HECO,264
748,L,1,HECO,2160
748,L,2,HECO,392
748,L,3,HECO,1392
748,L,4,HECO,784
748,L,5,HECO,NA
749,L,1,HECO,1440
749,L,2,HECO,1328
749,L,3,HECO,2768
749,L,4,HECO,4656
749,L,5,HECO,1664
750,L,1,HECO,64
750,L,2,HECO,496
750,L,3,HECO,256
750,L,4,HECO,520
750,L,5,HECO,432
751,L,1,HECO,496
751,L,2,HECO,280
751,L,3,HECO,240
751,L,4,HECO,376
751,L,5,HECO,176
752,L,1,HECO,416
752,L,2,HECO,224
752,L,3,HECO,248
752,L,4,HECO,464
752,L,5,HECO,592
753,L,1,HECO,3328
753,L,2,HECO,4072
753,L,3,HECO,2584
753,L,4,HECO,1296
753,L,5,HECO,1680
754,L,1,HECO,3472
754,L,2,HECO,4112
754,L,3,HECO,2400
754,L,4,HECO,5296
754,L,5,HECO,6000
755,L,1,HECO,160
755,L,2,HECO,408
755,L,3,HECO,336
755,L,4,HECO,352
755,L,5,HECO,NA
740,L,1,HOMU,1120
740,L,2,HOMU,260
740,L,3,HOMU,480
740,L,4,HOMU,80
740,L,5,HOMU,64
741,L,1,HOMU,870
741,L,2,HOMU,760
741,L,3,HOMU,810
741,L,4,HOMU,840
741,L,5,HOMU,630
742,L,1,HOMU,96
742,L,2,HOMU,392
742,L,3,HOMU,NA
742,L,4,HOMU,NA
742,L,5,HOMU,NA
743,L,1,HOMU,500
743,L,2,HOMU,556
743,L,3,HOMU,330
743,L,4,HOMU,NA
743,L,5,HOMU,NA
744,L,1,HOMU,1218
744,L,2,HOMU,150
744,L,3,HOMU,1200
744,L,4,HOMU,1890
744,L,5,HOMU,468
745,L,1,HOMU,24
745,L,2,HOMU,32
745,L,3,HOMU,34
745,L,4,HOMU,33
745,L,5,HOMU,21
746,L,1,HOMU,408
746,L,2,HOMU,1518
746,L,3,HOMU,442
746,L,4,HOMU,360
746,L,5,HOMU,96
747,L,1,HOMU,72
747,L,2,HOMU,92
747,L,3,HOMU,200
747,L,4,HOMU,NA
747,L,5,HOMU,NA
748,L,1,HOMU,20
748,L,2,HOMU,20
748,L,3,HOMU,16
748,L,4,HOMU,NA
748,L,5,HOMU,NA
749,L,1,HOMU,600
749,L,2,HOMU,1440
749,L,3,HOMU,520
749,L,4,HOMU,NA
749,L,5,HOMU,NA
750,L,1,HOMU,222
750,L,2,HOMU,8
750,L,3,HOMU,184
750,L,4,HOMU,62
750,L,5,HOMU,NA
751,L,1,HOMU,94
751,L,2,HOMU,128
751,L,3,HOMU,108
751,L,4,HOMU,24
751,L,5,HOMU,72
752,L,1,HOMU,108
752,L,2,HOMU,66
752,L,3,HOMU,122
752,L,4,HOMU,48
752,L,5,HOMU,56
753,L,1,HOMU,1456
753,L,2,HOMU,360
753,L,3,HOMU,2220
753,L,4,HOMU,816
753,L,5,HOMU,352
754,L,1,HOMU,816
754,L,2,HOMU,416
754,L,3,HOMU,576
754,L,4,HOMU,NA
754,L,5,HOMU,NA
755,L,1,HOMU,244
755,L,2,HOMU,60
755,L,3,HOMU,19
755,L,4,HOMU,148
755,L,5,HOMU,20
740,L,1,LACA,922
740,L,2,LACA,692
740,L,3,LACA,150
740,L,4,LACA,422
740,L,5,LACA,NA
741,L,1,LACA,96
741,L,2,LACA,158
741,L,3,LACA,225
741,L,4,LACA,40
741,L,5,LACA,120
742,L,1,LACA,43
742,L,2,LACA,54
742,L,3,LACA,30
742,L,4,LACA,60
742,L,5,LACA,NA
743,L,1,LACA,82
743,L,2,LACA,138
743,L,3,LACA,169
743,L,4,LACA,56
743,L,5,LACA,53
744,L,1,LACA,281
744,L,2,LACA,250
744,L,3,LACA,373
744,L,4,LACA,375
744,L,5,LACA,180
745,L,1,LACA,148
745,L,2,LACA,246
745,L,3,LACA,403
745,L,4,LACA,188
745,L,5,LACA,249
746,L,1,LACA,54
746,L,2,LACA,49
746,L,3,LACA,104
746,L,4,LACA,24
746,L,5,LACA,130
747,L,1,LACA,32
747,L,2,LACA,44
747,L,3,LACA,34
747,L,4,LACA,57
747,L,5,LACA,39
748,L,1,LACA,60
748,L,2,LACA,43
748,L,3,LACA,59
748,L,4,LACA,78
748,L,5,LACA,17
749,L,1,LACA,173
749,L,2,LACA,239
749,L,3,LACA,128
749,L,4,LACA,97
749,L,5,LACA,147
750,L,1,LACA,48
750,L,2,LACA,140
750,L,3,LACA,21
750,L,4,LACA,55
750,L,5,LACA,14
751,L,1,LACA,18
751,L,2,LACA,60
751,L,3,LACA,69
751,L,4,LACA,38
751,L,5,LACA,17
752,L,1,LACA,66
752,L,2,LACA,63
752,L,3,LACA,10
752,L,4,LACA,37
752,L,5,LACA,28
753,L,1,LACA,45
753,L,2,LACA,99
753,L,3,LACA,70
753,L,4,LACA,45
753,L,5,LACA,NA
754,L,1,LACA,28
754,L,2,LACA,69
754,L,3,LACA,78
754,L,4,LACA,38
754,L,5,LACA,28
755,L,1,LACA,27
755,L,2,LACA,33
755,L,3,LACA,15
755,L,4,LACA,27
755,L,5,LACA,32
740,L,1,LOWR,145
740,L,2,LOWR,550
740,L,3,LOWR,170
740,L,4,LOWR,1020
740,L,5,LOWR,530
741,L,1,LOWR,540
741,L,2,LOWR,NA
741,L,3,LOWR,820
741,L,4,LOWR,330
741,L,5,LOWR,600
742,L,1,LOWR,145
742,L,2,LOWR,295
742,L,3,LOWR,105
742,L,4,LOWR,150
742,L,5,LOWR,60
742,L,6,LOWR,715
743,L,1,LOWR,30
743,L,2,LOWR,90
743,L,3,LOWR,NA
743,L,4,LOWR,NA
743,L,5,LOWR,NA
744,L,1,LOWR,175
744,L,2,LOWR,120
744,L,3,LOWR,200
744,L,4,LOWR,125
744,L,5,LOWR,195
744,L,6,LOWR,150
745,L,1,LOWR,65
745,L,2,LOWR,205
745,L,3,LOWR,190
745,L,4,LOWR,325
745,L,5,LOWR,125
745,L,6,LOWR,80
746,L,1,LOWR,125
746,L,2,LOWR,270
746,L,3,LOWR,390
746,L,4,LOWR,230
746,L,5,LOWR,300
747,L,1,LOWR,20
747,L,2,LOWR,30
747,L,3,LOWR,75
747,L,4,LOWR,NA
747,L,5,LOWR,NA
748,L,1,LOWR,60
748,L,2,LOWR,95
748,L,3,LOWR,205
748,L,4,LOWR,NA
748,L,5,LOWR,NA
749,L,1,LOWR,450
749,L,2,LOWR,700
749,L,3,LOWR,400
749,L,4,LOWR,750
749,L,5,LOWR,600
749,L,6,LOWR,450
750,L,1,LOWR,140
750,L,2,LOWR,80
750,L,3,LOWR,40
750,L,4,LOWR,60
750,L,5,LOWR,NA
751,L,1,LOWR,85
751,L,2,LOWR,55
751,L,3,LOWR,525
751,L,4,LOWR,185
751,L,5,LOWR,NA
752,L,1,LOWR,40
752,L,2,LOWR,60
752,L,3,LOWR,35
752,L,4,LOWR,20
752,L,5,LOWR,NA
753,L,1,LOWR,190
753,L,2,LOWR,275
753,L,3,LOWR,190
753,L,4,LOWR,230
753,L,5,LOWR,530
754,L,1,LOWR,125
754,L,2,LOWR,910
754,L,3,LOWR,90
754,L,4,LOWR,310
754,L,5,LOWR,520
754,L,6,LOWR,790
755,L,1,LOWR,265
755,L,2,LOWR,90
755,L,3,LOWR,80
755,L,4,LOWR,NA
755,L,5,LOWR,NA
740,L,1,MEPO,122
740,L,2,MEPO,NA
740,L,3,MEPO,734
740,L,4,MEPO,816
740,L,5,MEPO,NA
741,L,1,MEPO,5
741,L,2,MEPO,5
741,L,3,MEPO,10
741,L,4,MEPO,10
741,L,5,MEPO,NA
742,L,1,MEPO,NA
742,L,2,MEPO,NA
742,L,3,MEPO,NA
742,L,4,MEPO,NA
742,L,5,MEPO,NA
743,L,1,MEPO,NA
743,L,2,MEPO,NA
743,L,3,MEPO,NA
743,L,4,MEPO,NA
743,L,5,MEPO,NA
744,L,1,MEPO,10
744,L,2,MEPO,10
744,L,3,MEPO,31
744,L,4,MEPO,NA
744,L,5,MEPO,NA
745,L,1,MEPO,NA
745,L,2,MEPO,NA
745,L,3,MEPO,NA
745,L,4,MEPO,NA
745,L,5,MEPO,NA
746,L,1,MEPO,NA
746,L,2,MEPO,NA
746,L,3,MEPO,NA
746,L,4,MEPO,NA
746,L,5,MEPO,NA
747,L,1,MEPO,NA
747,L,2,MEPO,NA
747,L,3,MEPO,NA
747,L,4,MEPO,NA
747,L,5,MEPO,NA
748,L,1,MEPO,NA
748,L,2,MEPO,NA
748,L,3,MEPO,NA
748,L,4,MEPO,NA
748,L,5,MEPO,NA
749,L,1,MEPO,61
749,L,2,MEPO,36
749,L,3,MEPO,NA
749,L,4,MEPO,NA
749,L,5,MEPO,NA
750,L,1,MEPO,NA
750,L,2,MEPO,NA
750,L,3,MEPO,NA
750,L,4,MEPO,NA
750,L,5,MEPO,NA
751,L,1,MEPO,5
751,L,2,MEPO,15
751,L,3,MEPO,NA
751,L,4,MEPO,NA
751,L,5,MEPO,NA
752,L,1,MEPO,NA
752,L,2,MEPO,NA
752,L,3,MEPO,NA
752,L,4,MEPO,NA
752,L,5,MEPO,NA
753,L,1,MEPO,214
753,L,2,MEPO,112
753,L,3,MEPO,133
753,L,4,MEPO,82
