plot_num,rep,sp_code,num_germinants,expected_germinants_l,num_germinants_corrected
750,1,BRMA,15,60,15
750,2,HECO,4,60,4
750,2,VUMI,59,60,59
750,2,CEME,0,60,0
750,2,LOWR,3,60,3
750,2,LACA,15,100,15
750,2,SACO,12,60,12
750,2,PLER,31,60,31
750,2,CLPU,0,60,0
750,2,HOMU,24,60,24
750,2,EUPE,2,60,2
750,2,MICA,0,50,0
750,2,AMME,0,60,0
750,2,CHGL,88,90,88
750,2,CLBO,0,60,0
750,2,MEPO,0,40,0
750,2,AGHE,30,60,30
750,2,BRMA,12,60,12
750,3,HECO,3,60,3
750,3,VUMI,50,60,50
750,3,CEME,0,60,0
750,3,LOWR,5,60,5
750,3,LACA,30,100,30
750,3,SACO,10,60,10
750,3,PLER,20,60,20
750,3,CLPU,0,60,0
750,3,HOMU,37,60,37
750,3,EUPE,1,60,1
750,3,MICA,0,50,0
750,3,AMME,2,60,2
750,3,CHGL,50,90,50
750,3,CLBO,0,60,0
750,3,MEPO,3,40,3
750,3,AGHE,30,60,30
750,3,BRMA,32,60,32
750,4,HECO,2,60,2
750,4,VUMI,35,60,35
750,4,CEME,0,60,0
750,4,LOWR,9,60,9
750,4,LACA,8,100,8
750,4,SACO,10,60,10
750,4,PLER,29,60,29
750,4,CLPU,0,60,0
750,4,HOMU,18,60,18
750,4,EUPE,2,60,2
750,4,MICA,1,50,1
750,4,AMME,1,60,1
750,4,CHGL,108,90,90
750,4,CLBO,0,60,0
750,4,MEPO,3,40,3
750,4,AGHE,31,60,31
750,4,BRMA,32,60,32
750,5,HECO,4,60,4
750,5,VUMI,42,60,42
750,5,CEME,0,60,0
750,5,LOWR,14,60,14
750,5,LACA,25,100,25
750,5,SACO,10,60,10
750,5,PLER,19,60,19
750,5,CLPU,0,60,0
750,5,HOMU,24,60,24
750,5,EUPE,24,60,24
750,5,MICA,0,50,0
750,5,AMME,0,60,0
750,5,CHGL,43,90,43
750,5,CLBO,0,60,0
750,5,MEPO,7,40,7
750,5,AGHE,36,60,36
750,5,BRMA,22,60,22
751,1,HECO,0,60,0
751,1,VUMI,0,60,0
751,1,CEME,0,60,0
751,1,LOWR,0,60,0
751,1,LACA,57,100,57
751,1,SACO,5,60,5
751,1,PLER,11,60,11
751,1,CLPU,3,60,3
751,1,HOMU,8,60,8
